t,el1,el2
546,0.7120621,-0.13062105
547,0.52040243,0.3705616
548,0.33791256,0.76574457
549,0.12340959,1.1048084
550,-0.093511306,1.3967519
551,-0.32617295,1.5938745
552,-0.5762326,1.654585
553,-0.8352419,1.6455392
554,-1.0925498,1.6161494
555,-1.3265426,1.5275518
556,-1.5572768,1.4168788
557,-1.7773606,1.2930086
558,-1.9491221,1.1714455
559,-2.0957217,1.0178261
560,-2.1166415,0.8706462
561,-2.0037134,0.7219708
562,-1.4230675,0.5696561
563,-0.5848241,0.4002152
564,-0.07955839,0.23245353
565,0.30054137,0.04322562
566,0.64430314,-0.12968849
567,0.963373,-0.31758654
568,1.2555513,-0.48890087
569,1.4926399,-0.6718888
570,1.6435751,-0.853457
571,1.6845622,-1.0274503
572,1.6582047,-1.1942494
573,1.5856189,-1.3378414
574,1.4881445,-1.4646119
575,1.3598533,-1.5629506
576,1.211248,-1.5727252
577,1.0629432,-1.530078
578,0.8987841,-1.3089479
579,0.7172984,-0.7792025
580,0.53354883,-0.14308041
581,0.3302041,0.34479824
582,0.10773918,0.73535395
583,-0.11296526,1.0831213
584,-0.37384844,1.3913205
585,-0.6189458,1.5926327
586,-0.84249383,1.6795813
587,-1.0951501,1.6815006
588,-1.3366699,1.6448419
589,-1.5604516,1.5529536
590,-1.8101263,1.4467036
591,-1.9341365,1.3379929
592,-2.0406582,1.2036092
593,-2.0580595,1.0627195
594,-1.8825915,0.9129696
595,-1.1614113,0.7516816
596,-0.42048055,0.5973341
597,0.03563573,0.43714952
598,0.3528662,0.23743194
599,0.6835006,0.0934951
600,1.0464469,-0.088222146
601,1.3260542,-0.2617677
602,1.5369966,-0.45468006
603,1.6483191,-0.6399661
604,1.6635833,-0.8214182
605,1.6205815,-0.9938689
606,1.5590564,-1.1614563
607,1.4484853,-1.3123009
608,1.3232584,-1.4383808
609,1.1746849,-1.5616463
610,1.0203043,-1.5853851
611,0.8584632,-1.5518172
612,0.67869943,-1.375492
613,0.47434792,-0.8507542
614,0.27703893,-0.1862212
615,0.06954915,0.30566135
616,-0.16675131,0.70511454
617,-0.41948566,1.0618083
618,-0.6490863,1.3570654
619,-0.9162468,1.578131
620,-0.5353079,0.51753265
621,-0.7792301,0.9313831
622,-1.0233834,1.2452514
623,-1.2705153,1.4488108
624,-1.5027965,1.5159311
625,-1.7179569,1.504526
626,-1.9021151,1.4394087
627,-2.0601976,1.3471931
628,-2.1451612,1.223189
629,-2.140768,1.0948753
630,-1.952958,0.947296
631,-1.2962132,0.793201
632,-0.52066797,0.63740826
633,-0.0037465391,0.49513057
634,0.39948484,0.3363017
635,0.7744385,0.17830183
636,1.0975201,0.009962811
637,1.385623,-0.17936502
638,1.5792086,-0.35449874
639,1.6428474,-0.5335502
640,1.6317505,-0.7193016
641,1.5800277,-0.90683967
642,1.4878423,-1.0862842
643,1.3603226,-1.2717695
644,1.2029278,-1.4536266
645,1.0738707,-1.5888292
646,0.91326344,-1.7191347
647,0.7482961,-1.8277793
648,0.5696178,-1.879696
649,0.37108082,-1.8528242
650,0.17830074,-1.6878922
651,-0.04202026,-1.2165151
652,-0.26597494,-0.513873
653,-0.5016862,0.018305907
654,-0.750763,0.47250557
655,-1.0148065,0.8484926
656,-1.2358469,1.1774055
657,-1.4638827,1.3997076
658,-1.679335,1.4943098
659,-1.8668674,1.5134054
660,-2.0263245,1.4543333
661,-2.1153708,1.351922
662,-2.1202629,1.233479
663,-1.9656198,1.1019969
664,-1.4139357,0.95681316
665,-0.6143611,0.8175939
666,-0.043542583,0.668633
667,0.38612407,0.51717055
668,0.76365215,0.3573131
669,1.1105698,0.19607648
670,1.4073049,0.034142464
671,1.6259174,-0.14378424
672,1.7013704,-0.31698462
673,1.7053211,-0.4969178
674,1.6633155,-0.69668925
675,1.5678029,-0.8571362
676,1.4456018,-1.0383347
677,1.2827219,-1.2345625
678,1.1570817,-1.3845556
679,0.9973828,-1.5455079
680,0.82537764,-1.6820838
681,0.65256536,-1.8247244
682,0.46403262,-1.8701644
683,0.26876643,-1.8629936
684,0.053121198,-1.7606088
685,-0.16821432,-1.4072893
686,-0.39853758,-0.71982014
687,-0.63964677,-0.113732815
688,-0.89060915,0.35059983
689,-1.123693,0.7495184
690,-1.3546246,1.0722866
691,-1.5752032,1.3770871
692,-1.769092,1.5006006
693,-1.9551849,1.5333052
694,-2.020106,1.4995973
695,-2.0511136,1.4051391
696,-1.9542925,1.2903768
697,-1.5469505,1.164505
698,-0.76354027,1.023726
699,-0.11704625,0.87834483
700,0.33362785,0.7209258
701,0.7166993,0.57723933
702,1.0687528,0.42408022
703,1.3768806,0.26184076
704,1.589324,0.093953624
705,1.7054784,-0.0756525
706,1.7077476,-0.23808588
707,1.6733125,-0.42760444
708,1.5898017,-0.6046941
709,1.4763944,-0.77910423
710,1.3409681,-0.96658075
711,1.2007877,-1.144079
712,0.9858768,-1.3217582
713,0.88270783,-1.5021086
714,0.6934182,-1.6346537
715,0.5014718,-1.7559484
716,0.3308795,-1.8320359
717,0.09102857,-1.8654857
718,-0.09548621,-1.7974911
719,-0.31224725,-1.5698769
720,-0.547553,-0.97772413
721,-0.7897626,-0.2890407
722,-1.0334789,0.21578936
723,-1.2606447,0.6400211
724,-1.4771073,1.010574
725,-1.6766901,1.3235052
726,-1.848511,1.4928943
727,-1.9741268,1.5574634
728,-2.0198717,1.510347
729,-1.9621419,1.4463243
730,-1.6863586,1.3498536
731,-1.0019827,1.2143705
732,-0.2725807,1.0805413
733,0.23843414,0.9357624
734,0.6483253,0.78505105
735,1.0197325,0.64302546
736,1.3471959,0.4920432
