t,el1,el2
448,0.4033807,0.3738977
449,0.27579197,0.2830302
450,0.14804411,0.16777991
451,0.008612012,0.035745997
452,-0.11227699,-0.035331883
453,-0.24323979,-0.1356098
454,-0.3652993,-0.23497525
455,-0.4992989,-0.3485208
456,-0.6315734,-0.44783983
457,-0.7535772,-0.5536508
458,-0.8816078,-0.6498394
459,-1.0155174,-0.75428283
460,-1.1325394,-0.852901
461,-1.2579166,-0.9582008
462,-1.3632705,-1.0371766
463,-1.4703435,-1.1363794
464,-1.5862457,-1.2148795
465,-1.6829555,-1.3016484
466,-1.7744335,-1.3629137
467,-1.8512411,-1.4308691
468,-1.9118327,-1.4868447
469,-1.9735652,-1.5484246
470,-1.9850143,-1.5714425
471,-1.9876744,-1.5633179
472,-1.9650977,-1.5654348
473,-1.9000134,-1.5252513
474,-1.8084073,-1.4622629
475,-1.6740913,-1.3774885
476,-1.5045967,-1.2616583
477,-1.2963512,-1.1217203
478,-1.0757401,-0.961812
479,-0.80517155,-0.7603719
480,-0.54819536,-0.5506785
481,-0.2871799,-0.34331325
482,-0.04035408,-0.13782077
483,0.19364767,0.049862307
484,0.41485268,0.23533438
485,0.6083951,0.40535823
486,0.7887325,0.5567338
487,0.94876444,0.70042396
488,1.072798,0.823476
489,1.2015812,0.93167734
490,1.3026285,1.0315485
491,1.3968754,1.1175144
492,1.4380548,1.1756698
493,1.5144409,1.2321647
494,1.5539194,1.2674112
495,1.5745085,1.3071028
496,1.5957568,1.2940334
497,1.589122,1.3167372
498,1.579576,1.3278265
499,1.557988,1.3191707
500,1.519443,1.2979233
501,1.4369097,1.2542535
502,1.4220126,1.2234827
503,1.3504275,1.1788793
504,1.2893286,1.1150218
505,1.2075775,1.0610894
506,1.1215836,0.99428195
507,1.0347352,0.93004537
508,0.9316824,0.8488766
509,0.81737036,0.76442486
510,0.7134897,0.672376
511,0.59497416,0.57869345
512,0.48579285,0.48690447
513,0.35013685,0.39394754
514,0.23960684,0.29683056
515,0.116244614,0.19659105
516,-0.0100270165,0.08808599
517,-0.13156344,-0.007070597
518,-0.26671088,-0.12812951
519,-0.40453783,-0.22673768
520,-0.5114461,-0.31693855
521,-0.6435734,-0.43694553
522,-0.7734335,-0.5406943
523,-0.9114668,-0.6487106
524,-1.0215243,-0.7478712
525,-1.1439934,-0.84911245
526,-1.2617124,-0.9459855
527,-1.3764945,-1.0424975
528,-1.4744902,-1.1346989
529,-1.5822368,-1.2236733
530,-1.680521,-1.3036811
531,-1.765326,-1.3742832
532,-1.8322997,-1.4338516
533,-1.8966087,-1.4876624
534,-1.9496677,-1.5459167
535,-1.9539908,-1.5624726
536,-1.9411129,-1.580158
537,-1.9010582,-1.5569234
538,-1.8466626,-1.532567
539,-1.7453699,-1.4718891
540,-1.5825114,-1.3666761
541,-1.3999232,-1.2534981
542,-1.1809422,-1.1400509
543,-0.9421101,-0.9338221
544,-0.6919005,-0.7418876
