t,el1,el2
587,-0.394372,-1.39349
588,-0.6442798,-1.2349501
589,-0.881935,-1.0233797
590,-1.1183633,-0.7471672
591,-1.3467324,-0.4204563
592,-1.5596762,-0.058731385
593,-1.733125,0.31744018
594,-1.864153,0.6859942
595,-1.9198956,1.0303382
596,-1.8599129,1.3393751
597,-1.5928795,1.6101235
598,-0.937594,1.8382524
599,-0.17209831,2.017588
600,0.392588,2.1565118
601,0.83955616,2.2525003
602,1.2257874,2.297369
603,1.571418,2.3181977
604,1.7976346,2.32017
605,1.8714063,2.2889166
606,1.8921982,2.237128
607,1.8214024,2.1665585
608,1.7019343,2.07348
609,1.5721273,1.9702109
610,1.4072456,1.8431731
611,1.2500157,1.6994251
612,1.0873299,1.5626303
613,0.89948624,1.4044697
614,0.71407235,1.2399923
615,0.52031815,1.0874228
616,0.3226237,0.91388804
617,0.1268923,0.7470624
618,-0.0912588,0.57426554
619,-0.3111702,0.4060198
620,-0.5436755,0.23549601
621,-0.77576125,0.06790934
622,-1.0021297,-0.08733944
623,-1.2324688,-0.22934735
624,-1.4394032,-0.36581707
625,-1.6657282,-0.4999049
626,-1.8151424,-0.60136396
627,-1.9391794,-0.71861225
628,-1.999535,-0.80878294
629,-1.9458032,-0.8943793
630,-1.6752268,-0.95047045
631,-0.9884012,-1.0068617
632,-0.20118779,-1.0541381
633,0.36274415,-1.091934
634,0.8272146,-1.1432275
635,1.2286216,-1.1968166
636,1.5746802,-1.2580907
637,1.8342991,-1.3035212
638,1.9626899,-1.3547864
639,1.9815695,-1.4151897
640,1.9362084,-1.4723939
641,1.8386581,-1.5273529
642,1.715794,-1.5982517
643,1.5513598,-1.652865
644,1.3900567,-1.7147619
645,1.2384554,-1.76519
646,1.0578783,-1.8043495
647,0.87384117,-1.8347951
648,0.67575884,-1.8480356
649,0.46587852,-1.8307658
650,0.24411583,-1.798828
651,0.02405122,-1.6942382
652,-0.20715569,-1.5569369
653,-0.45155865,-1.3499583
654,-0.69223696,-1.0926028
655,-0.9368143,-0.76040184
656,-1.1785492,-0.39282677
657,-1.4074671,0.08251174
658,-1.6008005,0.6225369
659,-1.7704648,1.2291495
660,-1.8810099,1.8263383
661,-1.8980004,2.3369236
662,-1.7887322,2.6315176
663,-1.4209214,2.7343974
664,-0.689285,2.7464008
665,0.039273925,2.6894164
666,0.55703944,2.6137614
667,0.9895302,2.5159042
668,1.3584031,2.388507
669,1.6516964,2.2587519
670,1.835549,2.105518
671,1.8923769,1.9739149
672,1.874994,1.8234608
673,1.7905821,1.6592804
674,1.6623948,1.4785821
675,1.5151185,1.3251667
676,1.3569183,1.147817
677,1.1976212,0.95963424
678,1.0220009,0.7820543
679,0.8404497,0.5903935
680,0.6461704,0.39418358
681,0.44794828,0.20158349
682,0.25523248,0.0028739227
683,0.051711824,-0.20172529
684,-0.15690088,-0.41074485
685,-0.39298585,-0.5721799
686,-0.59879595,-0.7601488
687,-0.8359251,-0.9474691
688,-1.0577805,-1.1184119
689,-1.276146,-1.2877016
690,-1.4825002,-1.4503555
691,-1.68047,-1.5902023
692,-1.8443882,-1.7205402
693,-1.9680731,-1.8425254
694,-2.0139275,-1.9263968
695,-1.948903,-1.9988307
696,-1.6388102,-2.0287228
697,-0.9444331,-2.0174131
698,-0.17215294,-1.9589336
699,0.38452762,-1.8600549
700,0.8181761,-1.7110201
701,1.2273481,-1.5201668
702,1.5837307,-1.3352797
703,1.8323197,-1.1333936
704,1.9463804,-0.947354
705,1.9543269,-0.7852261
706,1.8982359,-0.6189205
707,1.7887834,-0.5014723
708,1.6570835,-0.4077775
709,1.5020581,-0.32255355
710,1.3398955,-0.2418736
711,1.1747929,-0.15726331
712,0.9797743,-0.0841919
713,0.8041999,0.012590461
714,0.6159392,0.10680956
715,0.39253226,0.20044547
716,0.1859961,0.2914461
717,-0.027088014,0.4073032
718,-0.2590491,0.5658318
719,-0.5052515,0.710581
720,-0.7503644,0.8584639
721,-0.99446404,1.0197003
722,-1.2306547,1.1745409
723,-1.4573067,1.3137354
724,-1.646333,1.4394959
725,-1.8099307,1.5715257
726,-1.9184235,1.6735071
727,-1.9374274,1.7418517
728,-1.8041693,1.8273942
729,-1.3578274,1.866876
